lad24cd,la_name,pfa_name,pfa_name_safelives,population_weight,source
E06000034,Thurrock UA,Essex,Essex,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000035,Medway Towns UA,Kent,Kent,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000036,Bracknell Forest UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000037,West Berkshire UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000038,Reading UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000039,Slough UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000040,Windsor & Maidenhead UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000041,Wokingham UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000042,Milton Keynes UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000043,Brighton & Hove UA,Sussex,Sussex,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000044,Portsmouth UA,Hampshire,Hampshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000045,Southampton UA,Hampshire,Hampshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000046,Isle of Wight UA,Hampshire,Hampshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000047,County Durham UA,Durham,Durham,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000049,Cheshire East UA,Cheshire,Cheshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000050,Cheshire West and Chester UA,Cheshire,Cheshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000051,Shropshire UA,West Mercia,West Mercia,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000052,Cornwall UA,Devon & Cornwall,Devon & Cornwall,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000053,Isles of Scilly,Devon & Cornwall,Devon & Cornwall,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000054,Wiltshire UA,Wiltshire,Wiltshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000055,Bedford UA,Bedfordshire,Bedfordshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000056,Central Bedfordshire UA,Bedfordshire,Bedfordshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000057,Northumberland UA,Northumbria,Northumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000058,"Bournemouth, Christchurch and Poole UA",Dorset,Dorset,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000059,Dorset UA,Dorset,Dorset,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000060,Buckinghamshire UA,Thames Valley,Thames Valley,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000061,North Northamptonshire,Northamptonshire,Northamptonshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000062,West Northamptonshire,Northamptonshire,Northamptonshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000063,Cumberland,Cumbria,Cumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000064,Westmorland and Furness,Cumbria,Cumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000065,North Yorkshire,North Yorkshire,North Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E06000066,Somerset,Avon and Somerset,Avon and Somerset,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000008,Cambridge,Cambridgeshire,Cambridgeshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000009,East Cambridgeshire,Cambridgeshire,Cambridgeshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000010,Fenland,Cambridgeshire,Cambridgeshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000011,Huntingdonshire,Cambridgeshire,Cambridgeshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000012,South Cambridgeshire,Cambridgeshire,Cambridgeshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000032,Amber Valley,Derbyshire,Derbyshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000033,Bolsover,Derbyshire,Derbyshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000034,Chesterfield,Derbyshire,Derbyshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000035,Derbyshire Dales,Derbyshire,Derbyshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E07000036,Erewash,Derbyshire,Derbyshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
