lad24cd,reporting_year,households_on_register,jointly_managed_register,reasonable_preference,source
E06000064,2020,1524,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000064,2021,1406,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000064,2022,2213,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000064,2023,2679,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000066,2015,725,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000066,2016,1224,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000066,2017,1255,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000066,2018,1169,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000066,2019,1035,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000066,2020,1376,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000066,2021,1595,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000066,2022,1613,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000066,2023,1535,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000066,2024,1934,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000066,2025,2376,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000084,2015,7923,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000084,2016,2350,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000084,2017,3037,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000084,2018,3674,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000084,2019,4254,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000084,2020,4506,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000084,2021,4922,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000084,2022,4061,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000084,2023,4742,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000084,2024,5304,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000084,2025,4465,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000171,2015,3294,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000171,2016,2925,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
